col_1,행정동,등록인구,여성비율,외국인비율,고령자비율,치안기관,유흥업소 수,초등학교 수,"중,고등학교 수",가로등 수,보안등 수,어린이용 CCTV 수,생활방범 CCTV 수,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수,안전비상벨 수,요리 주점,입시·교과학원,범죄발생수(유동인구기준)
중구,동인동,1.198430248,5.271016361,0.868669424,6.515709663,1.919191919,0.351731602,2.575757576,2.575757576,9.091240996,2.428977272,0.597814884,1.592270006,0,0,3.128054741,0.732323232,1.323877068,0.119442601,5.143363546
중구,삼덕동,0.963963426,7.704240249,1.011971468,2.626286919,0,3.699776785,7.968750001,7.968750001,4.636158269,4.592285156,1.664540817,2.262350299,0,0,4.637096774,3.96484375,9.680851061,0.184762774,4.282091721
중구,성내1동,0.642841491,7.133490413,1.193587705,3.962361854,0,0.773809524,5.666666667,5.666666667,3.799196787,3.390625,0.789115646,1.946107785,0,0,3.010752688,1.208333333,5.494089833,0.700729927,3.102507878
중구,성내2동,0.618538218,4.605970921,1.704654459,6.28639133,10,2.19924812,3.355263159,3.355263159,6.30238658,3.663651316,0.700859291,2.381421368,0,1.358629131,4.244482173,0.953947368,3.52743561,0.207452939,3.013234164
중구,성내3동,0.642841491,5.054529161,0.519483653,4.180572509,2.405063291,0.176311031,3.227848102,3.227848102,8.888904294,2.349683544,1.123740636,2.172743122,0,0.43567854,2.449979583,0.917721519,0.075410719,0.249468724,3.102507878
중구,대신동,1.166357896,6.484978963,0.096664447,4.87952098,0,0.401785714,4.903846154,4.903846154,3.369281322,5.652043269,1.02433281,1.25748503,0,0,3.473945409,1.394230769,0.229132569,0.454800674,5.025551512
중구,남산1동,0.567541186,7.35022521,0.816842919,5.463914155,0,0.535714286,6.538461539,6.538461539,5.325638217,5.012019231,1.214024071,1.646706587,0,0,5.955334987,2.788461538,0.916530278,0.707467715,2.825905711
중구,남산2동,1.03926373,7.575084459,0.44776345,3.841129822,4.999999999,0.183270677,6.710526316,6.710526316,5.87479103,3.811677632,1.401718583,1.782225023,0,0,7.470288625,0,0.470324748,0.726085286,4.558693888
중구,남산3동,0.96436184,9.000574003,0.372158977,5.969092963,0,0,0,0,3.461664841,5.34375,2.515306123,2.422904192,0,0,10,0.90625,0.29787234,0.394160584,4.283555225
중구,남산4동,2.520568139,8.248033171,0.069283563,5.235378556,0,0,0,0,4.081781672,10,1.578231293,2.101796407,0,0,3.440860215,2.416666666,0.39716312,1.489051095,10
중구,대봉1동,1.226717664,8.477539551,1.051323224,5.028967497,0,0,0,0,8.19017209,0.667372881,0.200622622,1.266619304,0,0,3.717878622,0,3.635052289,0.334034393,5.247272298
중구,대봉2동,0.609175482,6.85152632,0.276480088,4.1736558,0,0.835714286,0,0,5.538663746,4.44375,0,2.288622755,0,0,6.193548387,0,1.191489361,0,2.97884183
동구,신암1동,1.448236021,4.994695576,0.272738103,7.670940303,3.166666667,0.696428571,4.250000001,4.250000001,2.449069003,4.96875,0,1.420658683,0,0,0.64516129,1.208333333,2.780141843,0.262773723,1.578486684
동구,신암2동,1.699237037,7.897379021,0.108402675,5.946231646,4.999999999,0.54981203,6.710526316,6.710526316,3.978497723,0.592105263,0,0.706744406,0,0,1.018675722,3.815789473,1.724524076,1.244717634,1.868025606
동구,신암3동,1.947249945,6.191883702,0.131276187,4.302839049,0,0.799180328,4.180327869,4.180327869,2.501571113,0.806864754,0,0.937960145,0,0,0.423056584,2.37704918,0.781304499,0.710781381,2.154117638
동구,신암4동,1.889878284,5.281674384,0.412260275,6.645853941,1.637931035,1.440886699,2.198275864,2.198275864,8.148676209,1.042564655,0,0.694559158,0,0,0.556173526,1.5625,0.821716801,0.067958721,2.087937314
동구,신암5동,0.902209207,8.032391679,0.270360918,8.546447226,0,0.409663866,10,10,2.770440049,2.233455882,0,0.847129271,0,0,0,2.132352941,0.700876095,0.541004723,0.948624628
동구,신천1·2동,2.16259288,8.064842042,0.05922051,7.460654927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.402523651
동구,신천3동,2.582919978,5.69005506,0.247515329,3.616626711,2.714285715,0.596938775,3.642857144,3.642857144,1.332185886,0.401785714,0,0.450384944,0,0,1.290322581,2.589285714,0.765957447,1.069864442,2.887386453
동구,신천4동,1.34325385,5.877659744,0.670902339,5.538838377,0,8.125000002,3.269230769,3.269230769,6.122672508,1.676682692,0,0.748502994,0,0,0.992555831,1.858974359,4.353518821,0.202133633,1.45738588
동구,효목1동,2.312396661,5.69830834,0.279477316,8.385146863,0,0.355839416,1.861313868,1.861313868,2.640209145,3.43864051,0,0.622186284,0,0,0.28255239,0.79379562,1.478490449,0,2.575327835
동구,효목2동,2.221159784,7.568183155,0.165265139,6.895884839,0,0.677083333,3.541666667,3.541666667,7.790708288,3.02734375,0,1.119011976,0,0,1.612903226,1.510416667,1.654846335,0.437956204,2.470082734
동구,도평동,0.450208171,1.405347677,0.297677013,7.646451529,0,0,0,0,0.064750516,0.049520622,0,0.010702185,0,0.099619695,0.043570951,0.034973469,0.002873829,0.001901402,0.427224773
동구,불로·봉무동,3.88473874,6.038757801,0.511320183,3.815096907,0,0.017903048,0.327763495,0,0,0,0,0,,0,0,0,0,0,4.389082376
동구,지저동,2.490288651,5.283013761,0.37044474,7.124538602,0,0.096280448,0,0,3.092806921,1.328485023,0,0,0,0,0,0.334101382,0.247083047,0.054492247,2.780532801
동구,동촌동,2.733321381,5.02296159,0.428235661,6.620545625,0.498687665,0.07311586,0.66929134,0.66929134,0.793611094,0.616387795,0,0.199207883,0,0,0.135466938,0.190288714,0.32836321,0.010345422,3.060880012
동구,방촌동,3.364210442,6.997401823,0.198872809,6.951067674,0,0.165816327,6.071428572,6.071428572,3.308037344,4.229910714,0,0.741374394,0,0,1.02406554,1.438492063,0.756501182,0.375391032,3.788633801
동구,해안동,2.641486882,5.106142282,0.240223763,7.495927436,0,0.005236305,0.191729324,0.191729324,0.269836695,0.177631579,0,0.057944262,0,0.129393251,0.038806694,0.054511278,0.062709966,0.005927227,2.954945533
동구,안심1동,7.93820594,6.416002601,0.330991957,4.889904026,0,0.105519481,3.090909091,3.090909091,4.67549537,5.889204546,0,0.251224823,0,0,0.664711633,2.087121212,0.866537718,0.310550763,9.064906199
동구,안심2동,1.970557182,5.375945706,0.312032757,6.154390182,0.139296188,0,0,0,1.229575728,0.523735337,0,0.177204243,0,0,0.09459843,0.212609971,0.00436763,0,2.181003396
동구,안심3동,4.036136178,6.497001661,0.299702488,2.826353819,0,0.022833724,1.254098362,1.254098362,1.401343077,0.564805328,0,0.336899971,0,0,0.338445267,0.534836065,0.136728287,0.413545531,4.563724902
동구,안심4동,5.35608279,5.596430414,0.308858889,3.626031356,1.501976285,0.137634105,1.007905138,1.007905138,2.613630953,1.317317194,0,0.438451161,0,0,0.255004463,0.429841897,0.211924985,0.296009925,6.08633197
동구,혁신동,3.389111337,5.67605657,0.226125136,1.54728123,0.115712546,0,0.310596834,0.310596834,1.286432409,0.717684227,0,0.053334257,0,0,0.055007662,0.110383678,0.047166144,0.064813251,3.817357898
동구,공산동,3.956054901,6.192871344,0.180015028,6.604850726,0.045346061,0,0.091288784,0.091288784,0.268421919,0.023996868,0,0.020204222,0,0.006160848,0.009238586,0.012977327,0.006398213,0.003292511,4.471348197
서구,내당1동,1.689675093,5.666736299,0.171366505,5.454414188,4.04255319,2.667173252,5.425531914,5.425531914,2.224604414,1.825132978,2.77029961,1.763918971,0.146735143,2.56308758,6.588881263,0,2.535083748,0.251591862,2.419735703
서구,내당2·3동,1.526524433,6.954661328,0.39910187,8.402409122,0,0,0,0,0,0,0,1.724550898,0.212201592,0,0,0,0,0,2.186092277
서구,내당4동,2.867387797,7.262741096,0.268344699,6.401110576,2.533333333,0.835714286,3.4,3.4,3.240306681,4.875000001,2.604081633,0,0,0,0,1.933333333,2.700709219,0.630656934,4.106304612
서구,비산1동,1.545050698,4.384362225,0.677175481,7.470986785,0,0.108816964,7.968750001,7.968750001,0.618154436,2.944335938,4.99362245,2.335329341,3.663793103,2.688953488,0,2.265625,0.837765957,0.061587591,2.212623216
서구,비산2·3동,1.448036813,6.286147811,0.369411884,9.413390856,0,0,0,0,0,0,0,2.263839667,2.814919071,0,0,0,0,0,2.073692386
서구,비산4동,1.561983306,6.663003182,0.182938368,7.39768658,0,0.357142857,6.538461539,6.538461539,2.173729884,3.894230769,5.463108322,0,0,0,0,3.717948719,2.596835788,0.101066816,2.236871923
서구,비산5동,0.870136855,4.242989378,1.998449006,8.683762497,0,0.24872449,9.107142857,9.107142857,3.027695197,2.159598215,4.438775511,4.712360993,1.97044335,3.687707641,0,0,10,0.703858186,1.246098273
서구,비산6동,1.144046694,5.970912132,0.428434027,7.375712228,0,1.031746031,0,0,3.401484726,3.333333333,5.918367348,4.627411843,2.298850574,0,0,0,1.985815602,0,1.638356772
서구,비산7동,1.740472918,0.790947121,6.154236498,6.530426093,0.693430658,0.203336809,0.930656935,0.930656935,4.05313357,1.200958029,0.583196783,0.294046943,0.151019381,0,0,1.05839416,1.065382823,0,2.492481825
서구,평리1동,1.183688918,5.165902107,0.506872815,7.231499305,0,0.892857143,6.538461539,6.538461539,2.680933524,5.444711539,5.76661434,10,0.353669319,2.647584972,0,0,3.360611019,0.202133633,1.695127275
서구,평리2동,1.207792984,6.420982467,0.212636433,5.854046127,0,0.240147783,8.793103449,8.793103449,1.997582807,0.387931035,10,3.543258311,3.329369798,0,0,10,1.438004401,0.543669771,1.729646023
서구,평리3동,1.594055658,4.885922849,0.478217175,7.128220865,4.935064934,0.723562152,3.311688313,3.311688313,2.734100511,2.191558441,3.61250994,0.940197527,0.716524854,0,0,1.883116883,1.392649903,0.358327804,2.282801828
서구,평리4동,3.159226279,5.540962633,0.222227453,5.159991724,2.602739726,3.529843444,0,0,3.135530915,0.038527397,1.945764608,2.783200722,1.983939537,0,0,0,3.182745554,0.431956804,4.524238212
서구,평리5동,0,0.985037773,0.775250615,7.223114237,0,0.165816327,6.071428572,6.071428572,5.685338758,0.401785714,2.536443149,4.420444825,2.791461412,0,0,3.452380952,0.85106383,0.281543274,0
서구,평리6동,0.35299508,0.556394937,1.705843953,7.014412906,0,0,3.493150686,3.493150686,4.954913052,1.386986301,1.21610288,1.21565089,2.078412848,0,0,0,0.08160886,0.053994601,0.505514226
서구,상중이동,3.603856651,4.94425399,0.997381747,5.207992385,0.283159464,0.031136896,0.760059612,0.760059612,2.855328645,1.383196721,0.467471639,0.092229847,0.092502184,0,0,1.94485842,0.106541523,0.052868037,5.160980737
서구,원대동,1.142054623,4.501654319,0.57771382,7.974589874,3.166666667,1.973214285,4.250000001,4.250000001,2.920043812,2.7421875,5.622448981,7.823353294,10,0.573643411,0,7.249999999,1.290780142,0.262773723,1.635503983
