구분,설치목적,설치장소유형,설치위치,도로명,지번,개수,위도,경도,행정동
가로등,,,,,,,35.87313859,128.6089438,동인동
가로등,,,,,,,35.87343028,128.6103158,동인동
가로등,,,,,,,35.87334197,128.6099071,동인동
가로등,,,,,,,35.87327842,128.6096135,동인동
가로등,,,,,,,35.87320369,128.6092586,동인동
가로등,,,,,,,35.87313073,128.6089167,동인동
가로등,,,,,,,35.87303425,128.6084726,동인동
가로등,,,,,,,35.87292034,128.6079684,동인동
가로등,,,,,,,35.87281573,128.6074794,동인동
가로등,,,,,,,35.8727484,128.6071334,동인동
가로등,,,,,,,35.87268986,128.6067043,동인동
가로등,,,,,,,35.87266017,128.6063609,동인동
가로등,,,,,,,35.87263496,128.605873,동인동
가로등,,,,,,,35.87261478,128.6054929,동인동
가로등,,,,,,,35.87259261,128.6050331,동인동
가로등,,,,,,,35.87292549,128.6041991,동인동
가로등,,,,,,,35.87476617,128.6054091,칠성동
가로등,,,,,,,35.87449739,128.6052499,칠성동
가로등,,,,,,,35.87428401,128.6051599,칠성동
가로등,,,,,,,35.87409829,128.6050514,칠성동
가로등,,,,,,,35.8734988,128.6047057,칠성동
가로등,,,,,,,35.87328788,128.6045872,칠성동
가로등,,,,,,,35.8731075,128.6044811,칠성동
가로등,,,,,,,35.87292734,128.6042216,동인동
가로등,,,,,,,35.87298176,128.603912,동인동
가로등,,,,,,,35.87306076,128.603652,동인동
가로등,,,,,,,35.8732689,128.6033697,칠성동
가로등,,,,,,,35.87345213,128.6030603,칠성동
가로등,,,,,,,35.87356197,128.6027247,동인동
가로등,,,,,,,35.87363509,128.6023592,동인동
가로등,,,,,,,35.87371388,128.6019802,동인동
가로등,,,,,,,35.87412522,128.5999391,칠성동
가로등,,,,,,,35.87397828,128.6006698,동인동
가로등,,,,,,,35.87404936,128.6003131,칠성동
가로등,,,,,,,35.87408096,128.6001574,칠성동
가로등,,,,,,,35.87412968,128.5999152,칠성동
가로등,,,,,,,35.87420658,128.599537,칠성동
가로등,,,,,,,35.87424105,128.599359,칠성동
가로등,,,,,,,35.87430123,128.5990665,성내1동
가로등,,,,,,,35.87433901,128.5988772,성내1동
가로등,,,,,,,35.87595272,128.5908642,성내2동
가로등,,,,,,,35.87524661,128.5944831,칠성동
가로등,,,,,,,35.87528716,128.5941842,칠성동
가로등,,,,,,,35.87533196,128.5939534,칠성동
가로등,,,,,,,35.87539025,128.5936618,성내2동
가로등,,,,,,,35.87542398,128.5934924,성내2동
가로등,,,,,,,35.87546438,128.593288,성내2동
가로등,,,,,,,35.8755427,128.5929104,성내2동
가로등,,,,,,,35.87561901,128.5925307,성내2동
가로등,,,,,,,35.87568272,128.5922135,성내2동
가로등,,,,,,,35.87578278,128.5917127,성내2동
가로등,,,,,,,35.87581117,128.5915668,성내2동
가로등,,,,,,,35.87594007,128.5909184,성내2동
가로등,,,,,,,35.8760885,128.5901609,성내2동
가로등,,,,,,,35.87621843,128.5895141,성내2동
가로등,,,,,,,35.87632294,128.5889911,고성동
가로등,,,,,,,35.87644255,128.5884109,고성동
가로등,,,,,,,35.87656387,128.5877596,성내3동
가로등,,,,,,,35.87656584,128.5877209,성내3동
가로등,,,,,,,35.87661765,128.5874559,성내3동
가로등,,,,,,,35.87667901,128.5871387,성내3동
가로등,,,,,,,35.87674232,128.5868114,성내3동
가로등,,,,,,,35.87681304,128.5864766,성내3동
가로등,,,,,,,35.87687959,128.5861222,성내3동
가로등,,,,,,,35.87694588,128.5857777,성내3동
가로등,,,,,,,35.87701125,128.5854388,성내3동
가로등,,,,,,,35.87732724,128.5837892,성내3동
가로등,,,,,,,35.87709563,128.5850001,성내3동
가로등,,,,,,,35.87714469,128.5847395,성내3동
가로등,,,,,,,35.87721888,128.584356,성내3동
가로등,,,,,,,35.87726293,128.5841209,성내3동
가로등,,,,,,,35.87733221,128.5837555,성내3동
가로등,,,,,,,35.8773748,128.5835313,성내3동
가로등,,,,,,,35.87743732,128.5831924,성내3동
가로등,,,,,,,35.87752788,128.5827329,성내3동
가로등,,,,,,,35.87757266,128.5824917,성내3동
가로등,,,,,,,35.87762524,128.5822134,성내3동
가로등,,,,,,,35.8776937,128.5818555,성내3동
가로등,,,,,,,35.8781534,128.5793459,성내3동
가로등,,,,,,,35.87786725,128.5809902,성내3동
가로등,,,,,,,35.87788519,128.5807217,성내3동
가로등,,,,,,,35.87795462,128.580372,성내3동
가로등,,,,,,,35.87802453,128.580018,성내3동
가로등,,,,,,,35.87808542,128.5796888,성내3동
가로등,,,,,,,35.87815639,128.5793259,성내3동
가로등,,,,,,,35.87823657,128.5789096,성내3동
가로등,,,,,,,35.87830808,128.5785609,성내3동
가로등,,,,,,,35.87838681,128.5781537,성내3동
가로등,,,,,,,35.87782284,128.5799641,성내3동
가로등,,,,,,,35.87816587,128.5782052,성내3동
가로등,,,,,,,35.87810605,128.5785324,성내3동
가로등,,,,,,,35.87803514,128.5788597,성내3동
가로등,,,,,,,35.87796985,128.5792074,성내3동
가로등,,,,,,,35.87791002,128.5795346,성내3동
가로등,,,,,,,35.87784999,128.5798005,성내3동
가로등,,,,,,,35.87779566,128.5801141,성내3동
가로등,,,,,,,35.87775203,128.5803186,성내3동
가로등,,,,,,,35.8776976,128.580605,성내3동
가로등,,,,,,,35.87763221,128.5809254,성내3동
가로등,,,,,,,35.87758051,128.5812015,성내3동
가로등,,,,,,,35.87753962,128.5813958,성내3동
가로등,,,,,,,35.87693585,128.5845801,성내3동
가로등,,,,,,,35.87640733,128.5822068,성내3동
가로등,,,,,,,35.87673455,128.582189,성내3동
