구분1,이름,구분,도로명,지번,위도,경도,행정동
대구광역시경찰청,대구중부경찰서,경찰서,중구 경상감영길 55,중구 포정동,35.87206027,128.5924126,성내2동
대구광역시경찰청,대구동부경찰서,경찰서,동구 반야월북로 209,동구 각산동,35.87429331,128.7205561,안심4동
대구광역시경찰청,대구서부경찰서,경찰서,서구 국채보상로 249,서구 평리동,35.87182832,128.5584546,평리3동
대구광역시경찰청,대구남부경찰서,경찰서,남구 대명로 249,남구 대명동,35.84223066,128.5836517,대명5동
대구광역시경찰청,대구북부경찰서,경찰서,북구 원대로 100,북구 침산동,35.88645103,128.5826471,침산3동
대구광역시경찰청,대구수성경찰서,경찰서,수성구 달구벌대로 2460,수성구 범어동,35.85822324,128.6316252,범어1동
대구광역시경찰청,대구달서경찰서,경찰서,달서구 학산로 55,달서구 월성동,35.83049708,128.5335384,월성2동
대구광역시경찰청,대구성서경찰서,경찰서,달서구 달구벌대로 259길 15,달서구 이곡동,35.85321888,128.5087741,이곡1동
대구광역시경찰청,대구달성경찰서,경찰서,달성군 현평면 현풍중앙로 16,달성군 현풍읍,35.69746402,128.4476559,현풍읍
대구광역시경찰청,대구강북경찰서,경찰서,북구 동암로 130,북구 구암동,35.94348049,128.5651392,구암동
대구중부,서문,지구대,대구광역시 중구  국채보상로 99길 12,중구 동산동,35.87135245,128.5839125,성내3동
대구중부,동덕,지구대,대구광역시 중구 국채보상로 140길 16,중구 동인동,35.86807348,128.6060264,동인동
대구중부,남산,지구대,대구광역시 중구  달구벌대로 2048,중구 남산동,35.86605354,128.5876602,남산2동
대구동부,큰고개,지구대,대구광역시 동구  큰고개로36,동구 신암동,35.8878605,128.6251312,신암4동
대구동부,동촌,지구대,대구광역시 동구  해동로 184,동구 검사동,35.88652005,128.648863,동촌동
대구동부,안심,지구대,대구광역시 동구  반야월로 219,동구 동호동,35.87227953,128.7128367,안심4동
대구동부,남신암,지구대,대구광역시 동구  대현로 126 ,동구 신암동,35.88136066,128.6123988,신암2동
대구동부,동대구,지구대,대구광역시 동구  동대구로85길 53 ,동구 신천동,35.8749709,128.6242658,신천3동
대구서부,평산,지구대,대구광역시 서구  달서로26길 1,서구 비산동,35.87335247,128.5714807,비산2.3동
대구서부,서도,지구대,대구광역시 서구  국채보상로 260,서구 평리동,35.87100015,128.5595113,평리4동
대구서부,이현,지구대,대구광역시 서구  국채보상로 117,서구 이현동,35.86904694,128.5439548,상중이동
대구서부,비원,지구대,대구광역시 서구  고성로 83,서구 원대동,35.88353115,128.5754715,원대동
대구남부,봉천,지구대,대구광역시 남구  봉덕로 87,서구 봉덕동,35.84500317,128.6001955,봉덕1동
대구남부,동대명,지구대,대구광역시 남구  양지로 100,남구 대명동,35.85124152,128.5790918,대명3동
대구북부,노원,지구대,대구광역시 북구  오봉로 122,북구 침산동,35.8984385,128.5793668,침산1동
대구북부,복현,지구대,대구광역시 북구  경진로1길 50,북구 복현동,35.89428983,128.6178184,복현1동
대구북부,고성,지구대,대구광역시 북구  침산로 24,북구 칠성동,35.8786626,128.5890029,칠성동
대구북부,산격,지구대,대구광역시 북구  연암로 114,북구 산격동,35.89458485,128.5947209,산격1동
대구수성,고산,지구대,대구광역시 수성구  고산로 150,수성구 매호동,35.84383907,128.706515,고산3동
대구수성,황금,지구대,대구광역시 수성구  청수로 245,수성구 황금동,35.84103091,128.6346882,황금1동
대구수성,만촌,지구대,대구광역시 수성구  무열로 111,수성구 만촌동,35.86828229,128.6488606,만촌2동
대구수성,상동,지구대,대구광역시 수성구  들안로 54,수성구 두산동,35.83451449,128.6171873,두산동
대구수성,지산,지구대,대구광역시 수성구  지범로 155,수성구 지산동,35.82312023,128.6371856,지산2동
대구수성,범어,지구대,대구광역시 수성구  동대구로 313,수성구 범어동,35.85848743,128.6250926,범어1동
대구달서,월배,지구대,대구광역시 달서구  월배로 108,달서구 진천동,35.81416953,128.5263825,진천동
대구달서,상인,지구대,대구광역시 달서구  상인서로 36,달서구 상인동,35.81403887,128.5449798,상인1동
대구달서,송현,지구대,대구광역시 달서구  학산로 184,달서구 송현동,35.8336111,128.5465891,송현2동
대구성서,신당,지구대,대구광역시 달서구  선원로 62,달서구 신당동,35.85896712,128.4991482,신당동
대구달성,다사,지구대,대구광역시 달성군 다사읍 세천로 100 ,달성군 다사읍,35.87316261,128.4724847,다사읍
대구강북,동천,지구대,대구광역시 북구  구암로 157,북구 동천동,35.93188207,128.5580301,동천동
대구강북,강북,지구대,대구광역시 북구  동암로 171 ,북구 국우동,35.94367695,128.569747,국우동
대구중부,중앙,파출소,대구광역시 중구  중앙대로 81길 88,중구 수동,35.86963756,128.5888191,성내2동
대구동부,팔공,파출소,대구광역시 동구 팔공로 197길 47,동구 백안동,35.9561988,128.6914726,공산동
대구동부,공산,파출소,대구광역시 동구 파계로 546,동구 중대동,35.97914513,128.6336837,공산동
대구동부,봉무불로,파출소,대구광역시 동구 위남로9,동구 봉무동,35.92725306,128.6401197,불로.봉무동
대구동부,동내혁신,파출소,대구 동구 동내로 120,동구 동내동,35.88162472,128.7338911,혁신동
대구서부,내당4동,파출소,대구광역시 서구  달구벌대로 1737,서구 내당동,35.85731004,128.5551211,내당4동
대구남부,서대명,파출소,대구광역시 남구 대명남로 177,남구 대명동,35.83581901,128.577519,대명9동
대구남부,대명,파출소,대구광역시 남구  두류공원로 113,남구 대명동,35.84613603,128.5672713,대명4동
대구남부,남대명,파출소,대구광역시 남구  대명남로 55,남구 대명동,35.83514557,128.5642856,대명6동
대구수성,파동,파출소,대구광역시 수성구  파동로 2길 30,수성구 파동,35.80860616,128.6212817,파동
대구달서,월성,파출소,대구광역시 달서구  월성로 69,달성구 월성동,35.83079525,128.5280585,월성2동
대구달서,대곡,파출소,대구광역시 달서구  갈밭로 51,달서구 대곡동,35.80324284,128.5286183,도원동
대구성서,죽전,파출소,대구광역시 달서구  용산로 212,달서구 용산동,35.85652909,128.5309608,용산1동
대구성서,성당,파출소,대구광역시 달서구  구마로39길 83-16,달서구 성당동,35.84122002,128.5470844,성당동
대구성서,두류3동,파출소,대구광역시 달서구  야외음악당로 202,달서구 두류동,35.85337429,128.5573663,두류3동
대구성서,성서,파출소,대구광역시 달서구  달구벌대로 1327,달서구 이곡동,35.85121095,128.5125843,이곡1동
